"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.35",12.4432105540803,9.55649579400878,11.3804965206578,11.0423596332412,12.9493628142651,12.9088319347809,17.0748488218197,17.7080048600097,21.3844004803671,20.1950458382469,21.6457605191818,21.0964741589305
"b=0.355",12.8245316763645,10.0372946029464,11.4153430517045,11.0464303734144,13.1406249777882,12.8022920108793,17.2656281937209,17.5272443341555,21.6189705741938,20.3083580281269,22.3392537173813,21.7378481639342
"b=0.36",13.1088351108421,10.5350402275916,11.4142200827307,10.9516203896979,13.0607788650553,12.7062415478134,17.7675237917167,17.5693703199902,21.7473426934121,20.2720657379156,22.2981557631321,22.2202737062146
"b=0.365",13.2790226990094,11.1157378259435,11.4632512704958,10.8506268225138,13.690143835376,12.9226278895938,18.1061611525231,17.7518207044071,21.9639447853542,20.2372443314211,22.6924953757955,22.3153735072836
"b=0.37",13.455115618462,11.7148730695298,11.5214987697589,10.9705536591288,14.0927901224025,13.2656669449612,18.0862204877731,17.7066690510335,22.2568793698566,20.412798962076,22.6109576143745,21.7491611331114
"b=0.375",13.5381269828695,12.2960004735738,11.4933473975384,11.1132016904814,14.4305753010726,13.9143369629045,18.2700442701271,17.9506179801554,22.2192616411428,20.1979321758465,22.6776592302665,21.4139579090322
"b=0.38",13.630584741838,13.0076313514848,11.4552995549623,11.346391433301,14.5357540807039,14.8648517445269,18.30588043049,18.4008077918405,22.5559607216067,20.6964343407138,23.6258199697034,22.327532733231
"b=0.385",13.7393959107586,13.4318449727401,11.9258489432946,11.2783004381791,14.6242818472979,15.6282893275873,17.9764771458199,19.0157507528163,23.6055619565568,21.5643020093918,23.7414671290476,22.9611992477482
"b=0.39",13.8231916795778,13.5850102444928,12.4257618493848,11.5733481552922,14.887916857445,15.6249729891334,17.3036272011671,19.9463318726274,24.5150600055469,22.73387300077,23.7410766205802,23.4526668179067
"b=0.395",13.909053400332,13.7198203787691,12.722737467016,11.9013760314629,15.3387951145648,15.3094930345041,16.8731804755619,21.0598137606239,24.5001747547735,22.8329716494734,23.9927058422456,24.3274032208605
"b=0.4",14.036049052969,13.9693098245282,12.7073069992178,11.9868607077594,15.2563155742841,15.1970480412682,17.0234531708502,21.9867306316718,25.1222766397361,23.4519295821765,24.9181432291623,25.7876379921672
"b=0.405",14.1672495946179,14.1919576383229,12.7013777707844,12.1454608178181,15.2904331061726,15.4471989361664,17.152137117206,22.5094943417498,26.0305765265897,24.3208693651653,26.1599165674124,26.9963767058606
"b=0.41",14.454092572372,14.5479057697542,12.780774980588,12.4126018233532,15.3900967607618,15.9867527050933,17.4534689362775,22.7124833449174,27.3573496904503,25.220359533361,26.3240161270202,27.1726941226086
"b=0.415",14.7112746626316,14.8842356481796,13.114642430912,12.6485158549421,15.4161192917711,16.8096319026899,17.719276902343,23.0168789156224,27.1147644198894,24.9228515707366,27.617035299721,27.4529857425301
"b=0.42",14.9089086296969,15.0902248854338,13.4480999295984,12.9320068819033,15.5355593806132,17.2265311691147,18.0120731124107,22.2723786701902,26.5487615845523,24.3113805730408,28.6104223742401,28.840626169749
"b=0.425",15.0678063921143,15.061601281936,13.7664097568482,13.2182381466028,16.1770281540772,17.2440679610238,18.3191924149524,21.5391524700146,25.8140222661222,24.8740975084834,29.0395065550952,28.7255216838849
"b=0.43",15.1581097520715,14.9542365575383,14.1414846581934,13.4505070048469,16.8058946678718,17.1312420852016,18.6606432114514,21.6192214496839,25.9963882597329,25.4156780498597,29.4284790956458,28.4108150459282
"b=0.435",15.3119488261394,14.8268306188235,14.5563512839962,13.706182517051,17.2969954283608,17.1686198493425,19.336255684211,22.2766955033752,27.0485092784327,25.9356723428155,29.2742062827272,27.8944778555201
"b=0.44",15.3939370505516,14.5533856466153,14.8542333405854,14.0629048169086,17.5089222267808,17.2215700715904,20.1381427478985,23.2509652448268,27.6765495140179,26.9301176050816,29.0268677529791,28.1689285342471
"b=0.445",15.4597211004456,14.2968122224333,14.9522925186034,14.4990394982568,17.555658226415,17.4240734141855,20.5006365147804,23.7123364469551,26.7623120641321,27.0485515951064,28.519782118914,27.4622267521714
